"Front-end Developer","Junior","0 - 1 Yıl","Dijital / Reklam Ajansı","İstanbul","2.000 TL ve aşağısı"
"Back-end Developer | .Net","Senior","10+","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Mobile Developer | iOS","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","10+","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Front-end Developer","Middle","3 - 5 Yıl","Startup","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Junior","0 - 1 Yıl","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Back-end Developer | Php","Senior","5 - 7 Yıl","Startup","İzmir","2.000 TL - 3.000 TL"
"Back-end Developer | .Net","Senior","3 - 5 Yıl","Kurumsal","Konya","5.000 TL - 7.500 TL"
"Back-end Developer | Java","Middle","1 - 3 Yıl","Outsource","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | .Net","Junior","1 - 3 Yıl","Startup","İstanbul","2.000 TL - 3.000 TL"
"Front-end Developer","Junior","0 - 1 Yıl","Startup","İstanbul","2.000 TL - 3.000 TL"
"Mobile Developer | Android","Junior","0 - 1 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Mobile Developer | iOS","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","3 - 5 Yıl","Kurumsal","Konya","5.000 TL - 7.500 TL"
"Front-end Developer","Senior","7 - 10 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Software Architect","Senior","10+","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Software Architect","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | Diğer","Junior","3 - 5 Yıl","E-Ticaret","İstanbul","2.000 TL - 3.000 TL"
"Full Stack Developer","Middle","10+","Startup","İstanbul","4.000 TL - 5.000 TL"
"Front-end Developer","Junior","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Mobile Developer | iOS","Middle","3 - 5 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Senior","3 - 5 Yıl","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Back-end Developer | Php","Senior","10+","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Back-end Developer | Ruby","Middle","0 - 1 Yıl","Startup","Ankara","3.000 TL - 4.000 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Test & Automation Engineer","Junior","0 - 1 Yıl","Kurumsal","Ankara","3.000 TL - 4.000 TL"
"Back-end Developer | Diğer","Senior","5 - 7 Yıl","Startup","İzmir","5.000 TL - 7.500 TL"
"Back-end Developer | Php","Senior","3 - 5 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"DevOps Engineer","Junior","0 - 1 Yıl","Kurumsal","Ankara","3.000 TL - 4.000 TL"
"Back-end Developer | Java","Middle","0 - 1 Yıl","Startup","İzmir","2.000 TL - 3.000 TL"
"Test & Automation Engineer","Middle","3 - 5 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Back-end Developer | Diğer","Senior","5 - 7 Yıl","Startup","İzmir","5.000 TL - 7.500 TL"
"Software Architect","Senior","7 - 10 Yıl","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | Java","Junior","0 - 1 Yıl","Outsource","İstanbul","3.000 TL - 4.000 TL"
"Front-end Developer","Senior","5 - 7 Yıl","Outsource","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | Java","Middle","1 - 3 Yıl","Şirket Sahibi","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","Kurumsal","Kahramanmaraş","5.000 TL - 7.500 TL"
"Full Stack Developer","Middle","1 - 3 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Front-end Developer","Middle","1 - 3 Yıl","Startup","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | Java","Junior","0 - 1 Yıl","E-Ticaret","İstanbul","4.000 TL - 5.000 TL"
"DevOps Engineer","Senior","7 - 10 Yıl","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Diğer","İstanbul","2.000 TL - 3.000 TL"
"Full Stack Developer","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | Java","Junior","1 - 3 Yıl","Outsource","İstanbul","4.000 TL - 5.000 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Startup","Ankara","5.000 TL - 7.500 TL"
"Back-end Developer | Php","Junior","1 - 3 Yıl","Diğer","İstanbul","2.000 TL - 3.000 TL"
"Back-end Developer | .Net","Senior","10+","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","E-Ticaret","İstanbul","3.000 TL - 4.000 TL"
"Front-end Developer","Senior","5 - 7 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Software Development Team Lead","Senior","7 - 10 Yıl","E-Ticaret","İstanbul","7.500 TL - 10.000 TL"
"Full Stack Developer","Middle","5 - 7 Yıl","Startup","İzmir","2.000 TL - 3.000 TL"
"Front-end Developer","Junior","0 - 1 Yıl","Outsource","İstanbul","2.000 TL ve aşağısı"
"Software Development Team Lead","Senior","7 - 10 Yıl","Kurumsal","Atlanta","15.000 TL ve üzeri"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","Startup","İstanbul","3.000 TL - 4.000 TL"
"Back-end Developer | Java","Junior","1 - 3 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Software Architect","Senior","5 - 7 Yıl","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Full Stack Developer","Senior","5 - 7 Yıl","Startup","İstanbul","15.000 TL ve üzeri"
"Full Stack Developer","Junior","0 - 1 Yıl","Startup","İzmir","2.000 TL ve aşağısı"
"Front-end Developer","Junior","0 - 1 Yıl","Kurumsal","Ankara","2.000 TL ve aşağısı"
"Front-end Developer","Junior","0 - 1 Yıl","E-Ticaret","İzmir","2.000 TL - 3.000 TL"
"Back-end Developer | Php","Senior","7 - 10 Yıl","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | Java","Junior","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | Java","Middle","3 - 5 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Senior","10+","Outsource","İstanbul","10.000 TL - 12.500 TL"
"Mobile Developer | iOS","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Front-end Developer","Middle","1 - 3 Yıl","E-Ticaret","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Front-end Developer","Junior","1 - 3 Yıl","Startup","İstanbul","3.000 TL - 4.000 TL"
"Front-end Developer","Senior","10+","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Front-end Developer","Middle","1 - 3 Yıl","Startup","İstanbul","5.000 TL - 7.500 TL"
"Software Development Team Lead","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | Java","Junior","1 - 3 Yıl","Kurumsal","Ankara","3.000 TL - 4.000 TL"
"Back-end Developer | .Net","Junior","1 - 3 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Software Development Team Lead","Senior","10+","Dijital / Reklam Ajansı","İstanbul","12.500 TL - 15.000 TL"
"Full Stack Developer","Senior","7 - 10 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Senior","10+","Kurumsal","Ankara","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Junior","0 - 1 Yıl","Outsource","İstanbul","4.000 TL - 5.000 TL"
"Front-end Developer","Senior","5 - 7 Yıl","Outsource","İzmir","2.000 TL - 3.000 TL"
"Software Development Team Lead","Senior","7 - 10 Yıl","E-Ticaret","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","Kurumsal","Ankara","3.000 TL - 4.000 TL"
"Back-end Developer | Java","Senior","5 - 7 Yıl","E-Ticaret","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | Diğer","Senior","10+","Outsource","İzmir","12.500 TL - 15.000 TL"
"Back-end Developer | .Net","Junior","0 - 1 Yıl","Kurumsal","İstanbul","2.000 TL ve aşağısı"
"Machine Learning Engineer ","Junior","1 - 3 Yıl","Startup","İstanbul","3.000 TL - 4.000 TL"
"Mobile Developer | Android","Junior","0 - 1 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","İzmir","4.000 TL - 5.000 TL"
"Yazılım Geliştirme Uzmanı","Senior","10+","Kamu","Ankara","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Junior","0 - 1 Yıl","Kurumsal","İstanbul","2.000 TL - 3.000 TL"
"Full Stack Developer","Junior","0 - 1 Yıl","E-Ticaret","İstanbul","4.000 TL - 5.000 TL"
"Software Development Team Lead","Senior","10+","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Full Stack Developer","Junior","0 - 1 Yıl","Dijital / Reklam Ajansı","İstanbul","2.000 TL ve aşağısı"
"Full Stack Developer","Senior","5 - 7 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Embedded Software Developer","Middle","3 - 5 Yıl","Kurumsal","Sakarya","5.000 TL - 7.500 TL"
"Software Architect","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Full Stack Developer","Middle","7 - 10 Yıl","Kurumsal","Sakarya","4.000 TL - 5.000 TL"
"Back-end Developer | Python","Junior","0 - 1 Yıl","Yazılım Evi","İstanbul","2.000 TL ve aşağısı"
"IT Manager","Senior","10+","Kurumsal","Kocaeli","7.500 TL - 10.000 TL"
"Full Stack Developer","Senior","1 - 3 Yıl","Dijital / Reklam Ajansı","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","Startup","İstanbul","2.000 TL ve aşağısı"
"Back-end Developer | Java","Senior","5 - 7 Yıl","Startup","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | Java","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | Php","Senior","7 - 10 Yıl","Startup","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Junior","1 - 3 Yıl","Yazılım Evi","Kocaeli","2.000 TL - 3.000 TL"
"Full Stack Developer","Senior","5 - 7 Yıl","Startup","İstanbul","7.500 TL - 10.000 TL"
"Software Architect","Senior","7 - 10 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Software Development Team Lead","Senior","7 - 10 Yıl","Kurumsal","Ankara","5.000 TL - 7.500 TL"
"Full Stack Developer","Middle","1 - 3 Yıl","Startup","Ankara","2.000 TL - 3.000 TL"
